time,calanoids,rotifers,nanophytoplankton,picophytoplankton
0,1.00958,1.66577,0.57053,1.00057
3.35,1.1878,1.78277,0.66797,1.18451
6.7,1.22684,1.59081,0.67847,1.1102
10.05,0.86242,1.32903,0.642,1.18569
13.4,0.69007,1.07144,0.62927,0.99645
16.75,0.68257,0.67955,0.70884,0.43902
20.1,0.63386,0.55372,1.00814,0.42025
23.45,0.6196,0.3295,1.58222,0.41985
26.8,0.52094,0.38669,1.96918,0.37215
30.15,0.52338,1.20814,1.84764,0.35435
33.5,0.63168,2.12309,1.32934,0.35243
36.85,0.6668,1.90488,0.77411,0.32966
40.2,0.65196,1.2452,0.63413,0.40384
43.55,0.65644,0.48668,0.78477,0.47621
46.9,0.73396,0.20882,0.83769,0.42153
50.25,0.87355,0.26735,0.85907,0.41128
53.6,0.91799,0.27297,1.019,0.41766
56.95,1.05307,0.31221,1.31273,0.41888
60.3,1.38337,0.63585,1.67174,0.38579
63.65,1.71919,1.12386,1.43003,0.44515
67,1.93318,1.0642,0.35355,0.47183
70.35,1.52408,1.01624,0.27913,0.59153
73.7,1.13105,0.91291,0.47103,0.71058
77.05,0.74471,0.77784,0.51085,0.66739
80.4,0.55094,0.74979,0.46491,0.70466
83.75,0.38695,0.74655,0.62412,0.70481
87.1,0.3704,0.79763,1.06559,0.68158
90.45,0.42288,0.81234,1.06252,0.7612
93.8,0.61053,0.73901,1.32052,0.70484
97.15,0.64039,0.56887,1.69246,0.70798
100.5,0.79302,0.38657,1.80219,0.79651
103.85,0.9353,0.47073,1.86688,0.88767
107.2,1.04241,0.49653,1.79136,0.90174
110.55,1.18366,0.40345,1.66116,1.02399
113.9,1.34675,0.36734,1.62001,1.41182
117.25,1.50575,0.44929,1.61119,0.97589
120.6,1.52712,0.39012,1.21115,0.87332
123.95,1.67613,0.2129,0.59902,0.35426
127.3,1.85022,0.21282,0.20747,0.8379
130.65,1.36716,0.22713,0.43317,0.64519
134,0.94354,0.25292,0.64771,1.08374
137.35,0.8229,0.23459,0.79851,0.93794
140.7,0.79041,0.10012,0.56351,1.17852
144.05,0.77512,0,0.7693,1.15491
147.4,0.76951,0,0.6835,0.88209
150.75,0.66011,0,0.5751,1.24516
154.1,0.60517,0.14045,0.54999,1.44794
157.45,0.60474,0.20019,0.47804,1.33029
160.8,0.59102,0.31911,0.50647,1.24702
164.15,0.63006,0.57785,0.49078,1.27247
167.5,0.71139,0.73804,0.20047,1.37612
170.85,0.72251,0.75094,0,1.52956
174.2,0.80657,0.83968,0,1.35204
177.55,0.79081,0.7546,0.14404,1.53692
180.9,0.74321,0.59166,0.43778,1.66928
184.25,0.75911,0.5847,0.60203,1.53714
187.6,0.88613,0.63169,0.48675,1.15564
190.95,0.91154,0.68618,0.76668,1.44927
194.3,0.89676,0.754,0.79098,1.51433
197.65,0.81779,0.84011,0.56663,1.30351
201,0.77899,0.72701,0.56013,1.05178
204.35,0.81297,0.70077,0.54274,0.75575
207.7,0.75807,0.69685,0.53149,1.85852
211.05,0.7448,0.77699,0.51469,1.55472
214.4,0.72684,0.7251,0.43798,1.5697
217.75,0.56786,0.8063,0.48262,0.78053
221.1,0.61627,0.7748,0.46004,0.42628
224.45,0.79966,0.68993,0.33154,0.79776
227.8,0.8397,0.62472,0.59946,0.72786
231.15,0.93715,0.6282,0.58745,0.65744
234.5,0.87147,0.57055,0.39075,1.5028
237.85,0.74848,0.46692,0.36061,1.3727
241.2,0.81114,0.4261,0.37406,0.73854
244.55,0.83144,0.43637,0.26729,0.30737
247.9,0.82524,0.43472,0.38311,1.06776
251.25,0.89686,0.54374,0.41408,1.18366
254.6,0.88642,0.68857,0.27758,0.95441
257.95,0.84642,0.68199,0.59111,0.62151
261.3,0.80535,0.64057,0.76964,0.49012
264.65,0.79945,0.58572,0.71516,0.46163
268,0.78835,0.54807,0.49523,0.38592
271.35,0.72526,0.58405,0.60834,0.61629
274.7,0.76577,0.59743,0.40222,0.69111
278.05,0.88822,0.45979,0.59859,0.59453
281.4,0.96987,0.37448,0.60882,0.6496
284.75,0.89323,0.30738,0.54075,0.61861
288.1,0.8777,0.25292,0.26722,0.73782
291.45,0.89731,0.25402,0.31752,0.88973
294.8,0.8734,0.27973,0.6289,1.11665
298.15,0.8761,0.25277,0.35726,1.27491
301.5,0.69965,0.22283,0.40739,0.89304
304.85,0.68225,0.12361,0.45496,0.75414
308.2,0.82564,0.17129,0.21341,0.71167
311.55,0.87896,0.18712,0.304,0.64054
314.9,0.87077,0.21154,0.39501,0.67108
318.25,0.86969,0.2761,0.42111,0.72733
