time,barnacles,algae,mussels,rock
0,92.81,53.23,0,7.19
1,91.09,53.73,3.23,8.91
2,94.57,59.16,5.78,5.43
3,95.2,63.96,7.62,4.8
4,95.57,68.33,8.7,4.43
5,95.58,69.68,8.99,4.42
6,91.87,63.72,8.56,8
7,84.79,52,7.5,14.87
8,77.17,38.64,5.87,22.3
9,71.86,27.76,1.66,27.55
10,70.36,21.7,0,29.31
11,69.76,16.86,0,30.58
12,69.46,12.68,0.83,31.64
13,69.14,8.99,4.62,32.46
14,68.49,5.6,17.32,33
15,67.18,2.34,18.62,33.24
16,42.22,0.62,17.46,13.14
17,35.91,10.84,16.32,13.17
18,34.7,15.45,16.13,13.23
19,34.78,15.27,18,13.32
20,35.01,14.96,20.57,13.49
21,35.41,14.61,22.41,13.8
22,36.01,14.3,24.51,14.3
23,36.87,14.13,30.89,15.04
24,43.14,21.4,37.86,28.93
25,42.3,21.14,34.15,35.83
26,38.88,18.96,24.07,40.31
27,35.19,16.62,14.46,43.11
28,33.2,15.35,7.18,44.2
29,37.88,16.57,1.17,42.68
30,48.72,18.98,0,38.82
31,56.28,19.5,0,35.14
32,62.82,19.38,0,30.81
33,69.16,19.14,0,25.98
34,74.83,18.76,0,21.25
35,79.37,18.25,0,17.23
36,82.3,17.61,0,14.5
37,83.15,16.74,0,13.68
38,81.43,11.93,0,15.14
39,78.25,6.05,0,17.07
40,74.96,4.88,1.85,17.41
41,70.46,4.97,4.9,16.98
42,65.22,5.14,6,16.22
43,60.11,5.41,6,15.23
44,56.01,5.78,6.31,14.13
45,53.8,6.24,13.39,13.04
46,57.36,8.26,21.67,11.85
47,71.75,14.45,30.75,10.24
48,86.69,20.72,33.78,8.89
49,90.92,22.71,28.38,8.5
50,78.83,22.46,23.16,8.98
51,63.05,22.14,25.66,9.91
52,58.98,23.01,27.67,11.18
53,67.78,34.89,21.14,13.83
54,75.9,45.84,13.65,16.56
55,72.57,43.44,10.97,17.87
56,62.31,35.68,9.13,19.13
57,43.06,22.87,6.77,26.67
58,26.86,12.13,6.63,34.41
59,39.34,11.54,9.95,26.82
